lnickel,nickel_desaiso
9.061840364,9.045380497
9.05017162,9.020170857
9.046644279,9.077910018
9.15324078,9.180253373
9.040144995,9.121506273
9.15324078,9.177132026
9.271435471,9.236124775
9.186559843,9.098502646
9.266248004,9.247863637
9.256746745,9.220768842
9.328123408,9.370496155
9.212338375,9.220161588
9.205830216,9.191192998
9.303830715,9.277891412
9.212837252,9.259660233
9.15377002,9.187336064
9.101640955,9.17314048
9.147400572,9.170706445
9.231612507,9.193997345
9.37585481,9.2873133
9.259130536,9.244395182
9.416947955,9.381937112
9.315600883,9.345345824
9.454070557,9.455504307
9.517825072,9.50538207
9.531698971,9.507795671
9.495519314,9.544411525
9.521494801,9.557139129
9.630365631,9.703230596
9.609116492,9.632785468
9.548953173,9.511338011
9.45720045,9.36865894
9.441452093,9.426716739
9.350102314,9.315091471
9.323669057,9.353413998
9.277064004,9.278497754
9.431882642,9.41943964
9.476543413,9.452640113
9.471473109,9.52036532
9.409273195,9.444917523
9.394077593,9.466942558
9.448569561,9.472238537
9.581214035,9.543598873
9.792555992,9.704014482
9.743905483,9.729170129
9.71986515,9.684854307
9.52295893,9.552703871
9.54859673,9.55003048
9.46109909,9.448656088
9.413689296,9.389785996
9.348710041,9.397602252
9.408535278,9.444179606
9.41930386,9.492168825
9.457590999,9.481259975
9.531408863,9.493651985
9.639977632,9.550962367
9.583075655,9.567116157
9.626151772,9.588917122
9.682404377,9.70983244
9.7179408,9.717481131
9.780811315,9.769977401
9.829679535,9.80867293
9.684584995,9.745439769
9.779849912,9.824791254
9.804385191,9.868313859
9.809945808,9.831911885
9.880832862,9.842775738
9.880577101,9.789859969
9.794565145,9.77768249
9.875499516,9.837507393
9.898324246,9.916128792
9.940638818,9.935984799
