Date,nickel
01/01/2006,15110
01/02/2006,14848
01/03/2006,15186
01/04/2006,19395
01/05/2006,22555
01/06/2006,22125
01/07/2006,26875
01/08/2006,31300
01/09/2006,31000
01/10/2006,32375
01/11/2006,34550
01/12/2006,34025
01/01/2007,39025
01/02/2007,43795
01/03/2007,46750
01/04/2007,49675
01/05/2007,47450
01/06/2007,36325
01/07/2007,31535
01/08/2007,29600
01/09/2007,30305
01/10/2007,31775
01/11/2007,26820
01/12/2007,26060
01/01/2008,27220
01/02/2008,31365
01/03/2008,29570
01/04/2008,28425
01/05/2008,21998
01/06/2008,21825
01/07/2008,18270
01/08/2008,20195
01/09/2008,15660
01/10/2008,11962
01/11/2008,10111
01/12/2008,9850
01/01/2009,11300
01/02/2009,9925
01/03/2009,9800
01/04/2009,11630
01/05/2009,13700
01/06/2009,15411
01/07/2009,17850
01/08/2009,19120
01/09/2009,17800
01/10/2009,18200
01/11/2009,16355
01/12/2009,18848
01/01/2010,18600
01/02/2010,21156
01/03/2010,25050
01/04/2010,26450
01/05/2010,21050
01/06/2010,19650
01/07/2010,21050
01/08/2010,20715
01/09/2010,23320
01/10/2010,23010
01/11/2010,22845
01/12/2010,24950
01/01/2011,27300
01/02/2011,28975
01/03/2011,26135
01/04/2011,26850
01/05/2011,23450
01/06/2011,23425
01/07/2011,24756
01/08/2011,22245
01/09/2011,17625
01/10/2011,19575
01/11/2011,17500
01/12/2011,18710
01/01/2012,20855
01/02/2012,19255
01/03/2012,17825
01/04/2012,17895
01/05/2012,16230
01/06/2012,16730
01/07/2012,15865
01/08/2012,15950
01/09/2012,18475
01/10/2012,16195
01/11/2012,17650
01/12/2012,17060
01/01/2013,18325
01/02/2013,16600
01/03/2013,16660
01/04/2013,15390
01/05/2013,14825
01/06/2013,13710
01/07/2013,13875
01/08/2013,13800
01/09/2013,13955
01/10/2013,14615
01/11/2013,13515
01/12/2013,13900
01/01/2014,13980
01/02/2014,14720
01/03/2014,15900
01/04/2014,18325
01/05/2014,19250
01/06/2014,19040
01/07/2014,18505
01/08/2014,18800
01/09/2014,16310
01/10/2014,15780
01/11/2014,16275
01/12/2014,15150
01/01/2015,15165
01/02/2015,14095
01/03/2015,12395
01/04/2015,13950
01/05/2015,12620
01/06/2015,11980
01/07/2015,11040
01/08/2015,10060
01/09/2015,10400
01/10/2015,10060
01/11/2015,8900
01/12/2015,8820
01/01/2016,8620
01/02/2016,8520
01/03/2016,8490
01/04/2016,9445
01/05/2016,8435
01/06/2016,9445
01/07/2016,10630
01/08/2016,9765
01/09/2016,10575
01/10/2016,10475
01/11/2016,11250
01/12/2016,10020
01/01/2017,9955
01/02/2017,10980
01/03/2017,10025
01/04/2017,9450
01/05/2017,8970
01/06/2017,9390
01/07/2017,10215
01/08/2017,11800
01/09/2017,10500
01/10/2017,12295
01/11/2017,11110
01/12/2017,12760
01/01/2018,13600
01/02/2018,13790
01/03/2018,13300
01/04/2018,13650
01/05/2018,15220
01/06/2018,14900
01/07/2018,14030
01/08/2018,12800
01/09/2018,12600
01/10/2018,11500
01/11/2018,11200
01/12/2018,10690
01/01/2019,12480
01/02/2019,13050
01/03/2019,12984
01/04/2019,12201
01/05/2019,12017
01/06/2019,12690
01/07/2019,14490
01/08/2019,17900
01/09/2019,17050
01/10/2019,16645
01/11/2019,13670
01/12/2019,14025
01/01/2020,12850
01/02/2020,12255
01/03/2020,11484
01/04/2020,12192
01/05/2020,12324
01/06/2020,12805
01/07/2020,13786
01/08/2020,15367
01/09/2020,14517
01/10/2020,15156
01/11/2020,16033
01/12/2020,16613
01/01/2021,17691
01/02/2021,18577
01/03/2021,16068
01/04/2021,17674
01/05/2021,18113
01/06/2021,18214
01/07/2021,19552
01/08/2021,19547
01/09/2021,17936
01/10/2021,19448
01/11/2021,19897
01/12/2021,20757
01/01/2022,22328
01/02/2022,24282
01/03/2022,32107
01/04/2022,31771
01/05/2022,28392
01/06/2022,22698
01/07/2022,23619
01/08/2022,21411
01/09/2022,21107
01/10/2022,21809
01/11/2022,26987
01/12/2022,30048
